CM code,TM/CP code,Client Code,Minimum Margins (a),Cash allocated (b),Cash-Others (c),Non-cash Securities (d),Short allocation Max [a-(b+c+d), 0]
14697,14697,JLD067,0,351,0,0,0,
14697,14697,09PK220,281,3761.17,0,0,0,
14697,14697,07FD318,0,2286.24,0,0,0,
14697,14697,11AA013,1402.7,39375.26,0,193596.13,0,
14697,14697,FD471,0,1409952.44,0,0,0,
14697,14697,09GB281,0,14457.43,0,0,0,
14697,14697,07EM070,0,493.32,0,0,0,
14697,14697,09PK115,0,15647.62,0,0,0,
14697,14697,01BA021,0,899.81,0,0,0,
14697,14697,09GB351,4634.44,5159.73,0,0,0,
14697,14697,01AT053,8481.41,198571.31,0,0,0,
14697,14697,09GB230,0,14735.44,0,0,0,
14697,14697,07FN038,0,346.23,0,17810752.96,0,
14697,14697,JLD012,364149.13,0,0,0,364149.13,
14697,14697,07IDE63,992.4,5206.47,0,0,0,
14697,14697,FD431,0,382772.59,0,0,0,
14697,14697,01FGE02,0,12.49,0,0,0,
14697,14697,09GB345,332.91,17325.42,0,0,0,
14697,14697,01AT333,0,7736.55,0,0,0,
14697,14697,01AT244,0,3.23,0,0,0,
14697,14697,01CGE54,0,17725.09,0,0,0,
14697,14697,03FD045,0,153143.93,0,0,0,
14697,14697,AHM3E2,0,131362.3,0,24314,0,
14697,14697,01CNE34,4166.4,15847.77,0,0,0,
14697,14697,FD739,0,1279.81,0,0,0,
14697,14697,01AT399,0,0,0,25628.88,0,
14697,14697,FD481,0,15324.57,0,0,0,
14697,14697,09GB221,0,14461.11,0,0,0,
14697,14697,09GB054,0,3924.77,0,0,0,
14697,14697,09PK224,4448.4,2913.38,0,0,1535.02,
14697,14697,09PK189,4166.4,16036.24,0,0,0,
14697,14697,09FD335,0,35302.02,0,0,0,
14697,14697,09GB115,4166.4,0,0,0,4166.4,
14697,14697,08FDE10,0,23.36,0,0,0,
14697,14697,09GB348,4289.92,5000,0,0,0,
14697,14697,FD603,0,767.69,0,0,0,
14697,14697,09GDKI01,4448.4,667.75,0,0,3780.65,
14697,14697,09GB011,281.95,235199.04,0,0,0,
14697,14697,FD196,0,0,0,42668,0,
14697,14697,07FT035,0,313.59,0,0,0,
14697,14697,01BM001,1625612.45,1857701.37,0,0,0,
14697,14697,FD734,0,1913.27,0,0,0,
14697,14697,08FD061,0,3318.44,0,0,0,
14697,14697,01BW011,0,88504.47,0,0,0,
14697,14697,09GB035,4166.4,0,0,0,4166.4,
14697,14697,09GD009,2347.4,15190.33,0,0,0,
14697,14697,01MJE10,0,7122196.81,0,0,0,
14697,14697,09PK190,0,13295.79,0,0,0,
14697,14697,09GDGM01,0,29190.97,0,0,0,
14697,14697,09GB252,2858.84,15000,0,0,0,
14697,14697,09PK082,4482.87,1800,0,0,2682.87,
14697,14697,07EM089,0,28080.07,0,0,0,
14697,14697,FDE839,0,99.44,0,0,0,
14697,14697,07FD279,0,5103.21,0,0,0,
14697,14697,FDE469,0,3547.98,0,0,0,
14697,14697,07FTE05,52346.64,609680.09,0,0,0,
14697,14697,09PK022,2367.45,15044.34,0,0,0,
14697,14697,09PK087,4300.8,0,0,0,4300.8,
14697,14697,01AH016,0,367573.39,0,0,0,
14697,14697,07FN048,138314.33,0,0,0,138314.33,
14697,14697,09GB085,4284.8,0,0,0,4284.8,
14697,14697,AHM3E19,0,73087.58,0,12643.28,0,
14697,14697,FD7389,623,10000,0,0,0,
14697,14697,AHM3E8,0,47254.26,0,8965.7,0,
14697,14697,08RA015,0,279.54,0,0,0,
14697,14697,01AT060,0,2690.49,0,0,0,
14697,14697,07BH005,0,3493.16,0,0,0,
14697,14697,07EM021,0,127592.93,0,1530588.31,0,
14697,14697,07FDCIPL,15264.03,107708.39,0,0,0,
14697,14697,01AX011,0,22919.7,0,0,0,
14697,14697,FDE809,0,16767.18,0,0,0,
14697,14697,FDE527,2504,8809.79,0,0,0,
14697,14697,09GB283,2347.39,15000,0,0,0,
14697,14697,FDL029,0,13.69,0,0,0,
14697,14697,FDI010,0,381950.84,0,0,0,
14697,14697,09GD020,333.4,16299.91,0,0,0,
14697,14697,09GB088,4384,0,0,0,4384,
14697,14697,07HD061,0,219.84,0,0,0,
14697,14697,01FG078,0,600,0,0,0,
14697,14697,01AT312,0,276821.42,0,0,0,
14697,14697,07JC03,0,105.99,0,0,0,
14697,14697,FD446,0,222661.49,0,0,0,
14697,14697,07FN006,0,100453.97,0,1864958.88,0,
14697,14697,07FD047,0,10,0,0,0,
14697,14697,AHM3E20,0,85164.69,0,24314,0,
14697,14697,07EM097,0,16262.42,0,0,0,
14697,14697,FDE817,0,106149.01,0,0,0,
14697,14697,09GD015,2347.4,15189.72,0,0,0,
14697,14697,07EN003,0,351,0,0,0,
14697,14697,FDE649,0,1428.01,0,0,0,
14697,14697,09PK214,282,206252.73,0,0,0,
14697,14697,07FD401,0,92.07,0,0,0,
14697,14697,07FN043,0,3635.28,0,157788,0,
14697,14697,09GDPB01,0,20392,0,0,0,
14697,14697,FD267,7287.7,36766.49,0,0,0,
